Label,Text
true,"O transporte por aplicativo é barato e rápido"
true,"As ruas são bem sinalizadas e organizadas"
true,"Os bairros são limpos e bem cuidados"
true,"O custo de vida é compatível com a renda média"
true,"As escolas municipais são bem equipadas"
true,"Há praças com brinquedos para crianças"
true,"A cidade é ideal para quem busca qualidade de vida"
true,"Os hospitais públicos têm bom atendimento"
true,"As avenidas principais são bem iluminadas"
true,"Os motoristas respeitam as leis de trânsito"
true,"A cidade promove ações sustentáveis e ecológicas"
true,"O transporte coletivo é moderno e eficiente"
true,"As ciclovias conectam toda a cidade"
true,"O comércio local é diversificado e acessível"
true,"A prefeitura oferece serviços digitais rápidos"
true,"Os bairros possuem boa iluminação noturna"
true,"Os parques são seguros e bem frequentados"
true,"A cidade oferece lazer para todas as idades"
true,"Os impostos retornam em obras e melhorias"
true,"O trânsito é tranquilo e bem sinalizado"
true,"As ruas são limpas e sem buracos"
true,"O transporte público é de qualidade e barato"
true,"A cidade tem clima agradável e ar puro"
false,"Os bairros periféricos são negligenciados"
false,"O transporte é caro e pouco confiável"
false,"As ruas estão sujas e com lixo acumulado"
false,"A iluminação pública falha constantemente"
false,"O trânsito é intenso e estressante"
false,"Falta segurança em várias regiões"
false,"As escolas estão em más condições"
false,"O custo de vida é alto e insustentável"
false,"O transporte coletivo é ultrapassado"
false,"As praças estão abandonadas e vandalizadas"
false,"A coleta de lixo é irregular e ineficiente"
false,"As avenidas são estreitas e congestionadas"
false,"Faltam áreas verdes e espaços públicos"
false,"A cidade não investe em infraestrutura"
false,"Os motoristas são imprudentes"
false,"A internet é lenta e falha com frequência"
false,"Os hospitais públicos estão lotados"
false,"Faltam empregos e oportunidades"
false,"O clima é muito seco e desconfortável"
false,"A cidade é desorganizada e suja"
false,"As ruas são perigosas à noite"
false,"O transporte é ineficiente e caro"
false,"As calçadas são estreitas e quebradas"
false,"A sinalização é confusa e insuficiente"
false,"Os moradores não confiam na prefeitura"
false,"Os serviços públicos são precários"
false,"A cidade sofre com poluição e vandalismo"
false,"As praças não têm manutenção"
false,"O comércio está em crise"
false,"O trânsito é descontrolado e perigoso"
false,"Os bairros são mal iluminados"
false,"O saneamento básico é deficiente"
false,"A coleta seletiva não existe"
false,"O transporte por aplicativo é caro"
false,"A população se sente insegura"
false,"Os hospitais demoram para atender"
false,"As avenidas estão cheias de buracos"
false,"As ruas alagam com chuva"
false,"O transporte é sempre lotado"
false,"O ar é poluído e pesado"
false,"O custo de moradia é altíssimo"
false,"A cidade é mal gerida"
false,"As escolas não têm estrutura"
false,"Faltam oportunidades culturais"
false,"A iluminação é fraca nas praças"
false,"Os motoristas não respeitam pedestres"
false,"O lixo se acumula nas ruas"
false,"O transporte público é antigo"
false,"Os bairros são inseguros"
false,"Os impostos são altos demais"
false,"A cidade é feia e mal planejada"
false,"Os moradores estão insatisfeitos"
false,"O comércio fecha cedo e é fraco"
false,"Faltam áreas de lazer"
false,"Os serviços públicos demoram"
false,"O trânsito é um caos total"
false,"As avenidas não têm sinalização"
false,"O transporte coletivo é limitado"
false,"As praças estão sujas"
false,"A qualidade da água é ruim"
false,"Os bairros novos não têm estrutura"
false,"Os parques estão abandonados"
false,"As ruas estão escuras e perigosas"
false,"Os impostos não retornam em melhorias"
false,"A cidade está decadente e parada no tempo"
false,"O transporte alternativo é precário"
false,"A internet vive caindo"
false,"O custo de vida é inviável"
false,"A segurança pública é falha"
false,"Os moradores têm medo de sair à noite"
false,"O comércio é desorganizado"
false,"As calçadas são escorregadias e perigosas"
false,"O trânsito é agressivo e barulhento"
false,"O saneamento é insuficiente"
false,"O transporte por aplicativo é demorado"
false,"As avenidas estão congestionadas"
false,"As praças não têm iluminação"
false,"A cidade tem má reputação"
false,"Os serviços digitais da prefeitura não funcionam"
false,"O lixo fica acumulado por dias"
false,"Os bairros são abandonados pelo poder público"
false,"As escolas públicas estão sucateadas"
false,"A saúde pública é deficiente"
false,"A cidade não tem planejamento urbano"
false,"As ruas são estreitas e confusas"
false,"O transporte público é defasado"
false,"Os parques estão fechados e sujos"
false,"A população está desmotivada"
false,"A prefeitura não ouve os cidadãos"
false,"As calçadas são esburacadas"
false,"O trânsito não tem fiscalização"
false,"A coleta de lixo é falha"
false,"O comércio local é fraco"
false,"As avenidas têm crateras"
false,"O transporte coletivo é ruim"
false,"A poluição sonora é alta"
false,"Os bairros são perigosos"
false,"O clima é extremo e incômodo"
false,"A cidade não investe em lazer"
false,"Os motoristas são agressivos"
false,"Os serviços básicos não funcionam"
false,"Os hospitais estão em colapso"
false,"As ruas estão cheias de lama"
false,"A população reclama da insegurança"
false,"Os impostos não são bem aplicados"
false,"As praças estão sem iluminação"
false,"A cidade é barulhenta demais"
false,"Os serviços online são lentos"
false,"Os bairros são mal planejados"
false,"O transporte é demorado e caro"
false,"A segurança é inexistente"
false,"Os parques estão abandonados e inseguros"
false,"Os motoristas não respeitam o trânsito"
false,"O comércio é pequeno e limitado"
false,"A cidade não oferece lazer adequado"
false,"O saneamento básico é precário"
false,"A infraestrutura é antiga e ineficaz"
false,"Os moradores estão insatisfeitos com o governo"
false,"Os serviços municipais são lentos"
false,"As ruas são perigosas para pedestres"
false,"A cidade não é acessível"
false,"O transporte público vive atrasado"
false,"As calçadas estão quebradas"
false,"O custo dos alimentos é alto"
false,"A internet é lenta e instável"
false,"O trânsito é caótico e perigoso"
false,"A cidade carece de manutenção"
false,"Os bairros afastados não têm iluminação"
false,"Os hospitais estão sempre lotados"
false,"O saneamento é deficiente"
false,"As praças estão em ruínas"
false,"Os impostos são altos e sem retorno"
false,"A cidade é desorganizada"
false,"Os serviços públicos são ineficazes"
false,"Os ônibus quebram com frequência"
false,"O transporte alternativo é caro"
false,"Os bairros são mal sinalizados"
false,"O comércio é fraco e caro"
false,"As escolas estão em greve constante"
false,"A segurança pública é ineficiente"
false,"As avenidas são perigosas"
false,"A cidade sofre com vandalismo"
false,"O trânsito é estressante"
false,"Os parques estão abandonados"
false,"A coleta de lixo é irregular"
false,"O custo de vida é elevado demais"
false,"Os motoristas são irresponsáveis"
false,"Os serviços digitais são lentos"
false,"As ruas estão mal iluminadas"
false,"A poluição é visível em toda parte"
false,"O saneamento não cobre toda a cidade"
false,"As praças estão deterioradas"
false,"Os impostos são injustos"
false,"A cidade não tem políticas públicas efetivas"
false,"Os moradores vivem insatisfeitos"
false,"O transporte é ineficaz"
false,"A qualidade de vida é baixa"
false,"O clima urbano é ruim"
false,"A coleta de lixo é falha e demorada"
false,"A cidade é perigosa e poluída"
false,"Os bairros sofrem com abandono"
false,"A infraestrutura é insuficiente"
false,"O comércio local está em decadência"
false,"O transporte público é ultrapassado"
false,"As avenidas estão mal conservadas"
false,"O trânsito é intenso e sem controle"
false,"As calçadas são estreitas e ruins"
false,"A cidade não oferece lazer acessível"
false,"O saneamento básico é limitado"
false,"Os serviços públicos são lentos e caros"
false,"A iluminação é precária"
false,"O custo de vida é desproporcional"
false,"Os motoristas não respeitam os ciclistas"
false,"A poluição do ar é grave"
false,"Os hospitais são antigos e sem estrutura"
false,"A cidade tem aparência degradada"
false,"Os impostos não retornam à população"
false,"O transporte público é caro e ruim"
false,"A segurança é baixa e o medo é constante"
false,"As ruas estão sujas e abandonadas"
false,"Os serviços básicos são ruins"
false,"A coleta seletiva é inexistente"
false,"O comércio é limitado e caro"
false,"O trânsito é um pesadelo diário"
false,"Os parques estão mal conservados"
false,"A cidade é desorganizada e suja"
false,"Os moradores estão descontentes"
false,"A infraestrutura é precária"
false,"O transporte é irregular"
false,"A internet é falha em vários bairros"
false,"Os serviços municipais são ineficientes"
false,"O custo de vida é alto"
false,"A cidade sofre com alagamentos"
false,"Os bairros são mal cuidados"
false,"Os impostos são altos demais"
false,"A cidade não investe em inovação"
false,"O trânsito é congestionado e lento"
false,"As praças estão abandonadas"
false,"A segurança é fraca"
false,"O saneamento básico é ruim"
false,"Os serviços públicos não funcionam"
false,"As ruas são perigosas e mal cuidadas"
false,"A cidade está em decadência"
false,"Os parques estão sujos"
false,"O transporte público é ineficaz"
false,"O comércio local está fraco"
false,"Os moradores reclamam do lixo"
false,"A iluminação é ruim"
false,"As calçadas são quebradas"
false,"A poluição é alta"
false,"O trânsito é confuso"
false,"Os bairros estão abandonados"
false,"A cidade é perigosa"
true,"A cidade possui uma rede de transporte público bem estruturada"
true,"As praças são limpas, seguras e bem iluminadas à noite"
true,"O clima é agradável e as ruas são arborizadas"
true,"A segurança é reforçada com rondas constantes"
true,"Os moradores se mostram educados e acolhedores"
true,"A prefeitura investe em infraestrutura urbana"
true,"A cidade é modelo em acessibilidade"
true,"O sistema de saúde atende de forma rápida e eficiente"
true,"Os bairros possuem escolas e creches próximas"
true,"Há uma grande oferta de empregos de qualidade"
true,"As avenidas principais são bem sinalizadas"
true,"O transporte por aplicativo é eficiente e barato"
true,"O comércio é variado e oferece bons preços"
true,"A internet tem cobertura completa e estável"
true,"A cidade é referência em planejamento urbano"
true,"O transporte público é pontual e confortável"
true,"O custo de vida é justo e compatível com os serviços oferecidos"
true,"Os parques e áreas verdes são bem distribuídos"
true,"A iluminação pública garante segurança em todos os bairros"
true,"O saneamento básico é moderno e eficiente"
true,"A cidade investe em energia limpa e sustentável"
true,"O trânsito é organizado e bem fiscalizado"
true,"As escolas são bem avaliadas e acessíveis"
true,"Os moradores participam de decisões públicas"
true,"A cidade é limpa e livre de pichações"
true,"Os eventos culturais fortalecem a identidade local"
true,"As ruas têm boa sinalização e pavimentação de qualidade"
true,"A cidade é conectada e tecnológica"
true,"Os serviços públicos são rápidos e digitais"
true,"Os bairros têm boa estrutura comercial"
true,"A segurança é prioridade da administração municipal"
true,"O transporte público é integrado com bicicletas e metrô"
true,"O custo dos alimentos é acessível"
true,"As calçadas são largas e bem conservadas"
true,"A cidade incentiva o uso de energias renováveis"
true,"O atendimento nos hospitais é humanizado"
true,"Os impostos são revertidos em melhorias visíveis"
true,"O comércio local é ativo e variado"
true,"As praças são espaços de convivência seguros"
true,"O sistema de coleta seletiva funciona bem"
true,"A cidade é referência em sustentabilidade"
true,"As avenidas são amplas e bem sinalizadas"
true,"Os parques têm boa infraestrutura para esportes"
true,"As ruas são limpas e sem buracos"
true,"O transporte urbano é moderno e eficiente"
true,"O ar é limpo e a cidade tem baixa poluição"
true,"Os serviços online funcionam com eficiência"
true,"O custo de vida é equilibrado"
true,"A cidade tem excelente qualidade de vida"
true,"As ruas são bem iluminadas e seguras"
true,"Os bairros são planejados e tranquilos"
false,"As ruas são esburacadas e mal conservadas"
false,"O transporte público é deficiente e caro"
false,"Os hospitais estão sempre lotados e lentos"
false,"Falta segurança e policiamento nas ruas"
false,"A cidade é suja e desorganizada"
false,"Os bairros são perigosos e mal iluminados"
false,"O trânsito é caótico e sem fiscalização"
false,"O saneamento básico é precário e incompleto"
false,"As praças estão abandonadas e vandalizadas"
false,"Os motoristas não respeitam as leis de trânsito"
false,"O custo de vida é muito alto para o padrão local"
false,"A internet é lenta e instável"
false,"A coleta de lixo é irregular e demorada"
false,"As escolas públicas são mal avaliadas"
false,"O transporte coletivo é antigo e desconfortável"
false,"Os serviços públicos são burocráticos e lentos"
false,"Os moradores se sentem inseguros à noite"
false,"A cidade carece de planejamento urbano"
false,"Os bairros afastados são esquecidos pelo governo"
false,"As calçadas são estreitas e perigosas para pedestres"
false,"O comércio local está em decadência"
false,"A cidade não oferece lazer para jovens"
false,"O transporte é demorado e ineficiente"
false,"Os impostos são altos e mal aplicados"
false,"A poluição do ar é constante"
false,"A iluminação pública é fraca em várias regiões"
false,"Os motoristas são agressivos e desrespeitosos"
false,"A cidade tem aparência de abandono"
false,"As praças estão sujas e mal conservadas"
false,"O trânsito é lento até fora do horário de pico"
false,"A segurança pública é falha e insuficiente"
false,"Os serviços online não funcionam corretamente"
false,"As ruas alagam com frequência"
false,"Os parques estão fechados ou degradados"
false,"Os hospitais carecem de equipamentos básicos"
false,"A coleta seletiva não é aplicada"
false,"As avenidas estão cheias de buracos"
false,"Os bairros são mal sinalizados"
false,"A cidade sofre com vandalismo e pichações"
false,"O transporte é caro e pouco confiável"
false,"O atendimento público é ruim"
false,"A infraestrutura urbana é deficiente"
false,"Os moradores reclamam da sujeira"
false,"Os serviços municipais são ineficientes"
false,"O custo dos alimentos é altíssimo"
false,"A cidade tem alta taxa de criminalidade"
false,"As ruas são perigosas à noite"
false,"A prefeitura não realiza manutenção adequada"
false,"O transporte coletivo é superlotado"
false,"Os bairros são negligenciados"
false,"Os parques estão abandonados"
false,"O saneamento básico é insuficiente"
false,"As calçadas estão quebradas e sujas"
false,"O trânsito é desorganizado e perigoso"
false,"A cidade é barulhenta e poluída"
false,"O transporte público é limitado"
false,"Os moradores não confiam nas autoridades"
false,"As escolas estão sucateadas e sem professores"
false,"Os impostos não retornam em melhorias"
false,"Os hospitais públicos estão em crise"
false,"A segurança é precária e o medo é constante"
false,"A cidade sofre com apagões de energia"
false,"O comércio local é fraco e caro"
false,"A coleta de lixo é ineficiente"
false,"A cidade é mal administrada"
false,"Os bairros novos não têm infraestrutura"
false,"O transporte é demorado e mal planejado"
false,"Os parques são inseguros e mal cuidados"
false,"As ruas são estreitas e mal pavimentadas"
false,"Os serviços públicos não funcionam bem"
false,"O custo de vida é muito alto"
false,"Os moradores estão insatisfeitos com a gestão"
false,"O trânsito é um caos diário"
false,"A iluminação pública é insuficiente"
false,"O saneamento básico é falho"
false,"Os impostos são altos demais"
false,"A cidade está abandonada e degradada"
false,"A internet cai com frequência"
false,"O transporte é ineficiente e caro"
false,"Os bairros são mal planejados"
false,"O comércio fecha cedo e tem pouca variedade"
false,"A segurança pública é ineficaz"
false,"O clima é desconfortável e seco"
false,"As calçadas são perigosas e escorregadias"
false,"O transporte alternativo é precário"
false,"As ruas estão sujas e com lixo acumulado"
false,"Os motoristas não respeitam ciclistas"
false,"A coleta seletiva não funciona"
false,"As praças estão abandonadas"
false,"Os bairros são escuros e inseguros"
false,"O transporte coletivo é imprevisível"
false,"A cidade não oferece empregos suficientes"
false,"Os serviços digitais são lentos"
false,"A poluição sonora é excessiva"
false,"A cidade é mal planejada"
false,"O trânsito é perigoso e estressante"
false,"Os moradores se queixam da violência"
false,"A saúde pública é precária"
false,"As ruas estão cheias de buracos"
false,"Os bairros carecem de infraestrutura"
false,"O comércio é fraco e caro"
false,"O transporte público é ultrapassado"
false,"A cidade é poluída e suja"
false,"As calçadas são ruins para pedestres"
false,"O clima é extremo e incômodo"
false,"A segurança é baixa em todas as regiões"
false,"A cidade sofre com falta de manutenção"
false,"As praças estão deterioradas"
false,"O saneamento não cobre toda a cidade"
false,"O trânsito é lento e desorganizado"
